title,image_link,text
"[""«Укусивший скорпион был маленький — нога онемела только на пару дней». Белоруска о переезде в Колумбию\n                                \n                                                                «Укусивший скорпион был маленький — нога онемела только на пару дней». Белоруска о переезде в Колумбию"", ""https://content.onliner.by/news/1400x5616/2da70791b6f0fdb06657c1921b915ccf.jpeg"", ""В начале года Юлия решилась на большое путешествие и отправилась к тете в Колумбию. Из-за коронавируса белоруска остается в Латинской Америке до сих пор и пока не планирует возвращаться — несмотря на с""]",https://content.onliner.by/news/1400x5616/2da70791b6f0fdb06657c1921b915ccf.jpeg,В начале года Юлия решилась на большое путешествие и отправилась к тете в Колумбию. Из-за коронавируса белоруска остается в Латинской Америке до сих пор и пока не планирует возвращаться — несмотря на с
"[""Курс биткоина превысил исторический максимум"", ""'https://content.onliner.by/news/970x485/565cda349bc19ee6038418c25cd8e7d3.jpeg'"", ""Сегодня во второй половине дня стоимость биткоина достигла 19 808 долларов. На момент написания данной заметки курс слегка снизился. Таким образом, 30 ноября 2020 года был побит рекорд, установленный 1""]",'https://content.onliner.by/news/970x485/565cda349bc19ee6038418c25cd8e7d3.jpeg',"Сегодня во второй половине дня стоимость биткоина достигла 19 808 долларов. На момент написания данной заметки курс слегка снизился. Таким образом, 30 ноября 2020 года был побит рекорд, установленный 1"
"[""В ВОЗ предупреждают о возможной новой пандемии из-за неконтролируемого приема антибиотиков"", ""'https://content.onliner.by/news/970x485/44d88624d141431461b0ee4bcb50cede.jpeg'"", ""Мелита Вуйнович, представляющая ВОЗ в России, рассказала, что в организации обеспокоены потенциальной пандемией микроорганизмов, устойчивых к антибиотикам и противовирусным препаратам. В таком случае л""]",'https://content.onliner.by/news/970x485/44d88624d141431461b0ee4bcb50cede.jpeg',"Мелита Вуйнович, представляющая ВОЗ в России, рассказала, что в организации обеспокоены потенциальной пандемией микроорганизмов, устойчивых к антибиотикам и противовирусным препаратам. В таком случае л"
"[""«Чудо-женщина», «Избави нас от лукавого». Лучшие фильмы декабря"", ""https://content.onliner.by/news/1400x5616/77d45ae98095d9d3395c676d9438133f.jpeg"", ""Декабрь обещает быть богатым на кинопремьеры. Правда, самые интересные из них покажут стриминговые сервисы, тогда как кинотеатры будут крутить в основном российское кино — преимущественно псевдоновогод""]",https://content.onliner.by/news/1400x5616/77d45ae98095d9d3395c676d9438133f.jpeg,"Декабрь обещает быть богатым на кинопремьеры. Правда, самые интересные из них покажут стриминговые сервисы, тогда как кинотеатры будут крутить в основном российское кино — преимущественно псевдоновогод"
"[""Что-то новенькое. Пощупали ноутбук Honor MagicBook 14"", ""https://content.onliner.by/news/1400x5616/e0165f739c6c02df3b816032c85ab043.jpeg"", ""Мы привыкли к смартфонам, фитнес-браслетам, часам Honor — а вот с ноутбуками название бренда мало у кого ассоциируется. При этом компания давно и основательно присутствует на рынке лэптопов. До Беларус""]",https://content.onliner.by/news/1400x5616/e0165f739c6c02df3b816032c85ab043.jpeg,"Мы привыкли к смартфонам, фитнес-браслетам, часам Honor — а вот с ноутбуками название бренда мало у кого ассоциируется. При этом компания давно и основательно присутствует на рынке лэптопов. До Беларус"
"[""Сколько стоит спасти от разрушения знаменитую усадьбу Рейтанов, а вместе с ней и нашу историю?\n                                \n                                                                Сколько стоит спасти от разрушения знаменитую усадьбу Рейтанов, а вместе с ней и нашу историю?"", ""https://content.onliner.by/news/1400x5616/18fcd39e7c8c55a24df772bd24d03f03.jpeg"", ""В деревне Грушевка Ляховичского района стоит усадьба шляхтичей Рейтанов. Когда-то давно здесь гремели балы, реками лился вкуснейший алкоголь собственного производства, а чтобы посмотреть на экзотически""]",https://content.onliner.by/news/1400x5616/18fcd39e7c8c55a24df772bd24d03f03.jpeg,"В деревне Грушевка Ляховичского района стоит усадьба шляхтичей Рейтанов. Когда-то давно здесь гремели балы, реками лился вкуснейший алкоголь собственного производства, а чтобы посмотреть на экзотически"
"[""Минчанина прямо из квартиры забрали за флаг на балконе. Ему дали 30 базовых штрафа"", ""'https://content.onliner.by/news/970x485/75b66694c1c31fbb0b7e15470b0a8245.jpeg'"", ""Илья Рокач — бывший следователь, он уволился из органов полтора года назад. Его супруга Анастасия утверждает, что вчера утром в их квартиру пришел мужчина, который попросил Илью проследовать в милицейс""]",'https://content.onliner.by/news/970x485/75b66694c1c31fbb0b7e15470b0a8245.jpeg',"Илья Рокач — бывший следователь, он уволился из органов полтора года назад. Его супруга Анастасия утверждает, что вчера утром в их квартиру пришел мужчина, который попросил Илью проследовать в милицейс"
"[""Появились сообщения о ЧП на БелАЭС. В Минэнерго говорят о плановых испытаниях"", ""'https://content.onliner.by/news/970x485/7b8f5ab227cc4df81144922296ac2798.jpeg'"", ""Ближе к вечеру белорусский Telegram наполнился обсуждениями по поводу БелАЭС. Мол, при остановке реактора происходит аварийный (не радиоактивный) выброс пара в атмосферу. Это сопровождается сильным шум""]",'https://content.onliner.by/news/970x485/7b8f5ab227cc4df81144922296ac2798.jpeg',"Ближе к вечеру белорусский Telegram наполнился обсуждениями по поводу БелАЭС. Мол, при остановке реактора происходит аварийный (не радиоактивный) выброс пара в атмосферу. Это сопровождается сильным шум"
"[""История о милосердии. Белоруска на свои деньги открыла частный приют для собак, но теперь не может его содержать"", ""https://content.onliner.by/news/1400x5616/d31fc94914980f949541f49436bb6617.jpeg"", ""В Лельчицах уже около 5 лет работает частный приют «Томас», куда местные жители постоянно подбрасывают все новых и новых собак и кошек. Их всех содержит на собственные деньги Янина Козлова. Сейчас прию""]",https://content.onliner.by/news/1400x5616/d31fc94914980f949541f49436bb6617.jpeg,"В Лельчицах уже около 5 лет работает частный приют «Томас», куда местные жители постоянно подбрасывают все новых и новых собак и кошек. Их всех содержит на собственные деньги Янина Козлова. Сейчас прию"
"[""15-дневный тур по тюрьмам Беларуси: личный опыт, условия и инструкция родственникам задержанных"", ""https://content.onliner.by/news/1400x5616/dc704876eec775381489733e601b21de.jpeg"", ""Я сидела не за работу, в пятницу у меня вообще был выходной. На скамейке в парке возле дома я ждала подругу, втыкала в телефон и слушала музыку. Несколько девушек в 10 метрах от меня негромко о чем-то ""]",https://content.onliner.by/news/1400x5616/dc704876eec775381489733e601b21de.jpeg,"Я сидела не за работу, в пятницу у меня вообще был выходной. На скамейке в парке возле дома я ждала подругу, втыкала в телефон и слушала музыку. Несколько девушек в 10 метрах от меня негромко о чем-то "
